Transaction_ID,Customer_ID,Account_Age_Months,Customer_Age,Gender,Marital_Status,Income_Level,Occupation,Device_Type,Is_Registered_Device,Transaction_Type,Merchant_Category,Location_Match,Country_Match,IP_Risk_Score,Amount,Time_of_Day,Day_of_Week,Is_Weekend,Is_Holiday,Num_Past_Transactions,Avg_Transaction_Amount_30d,Num_Failed_Login_24h,Past_Fraud_Flag,Card_Swipe_Error,Transaction_Duration_Seconds,Velocity_Score,Device_OS,Card_Type,Card_Tier,Foreign_Transaction,Currency_Conversion_Rate,Customer_Segment,Loyalty_Status,Risk_Score,Is_Fraud
20,CUST10019,92,48,Other,Divorced,Medium,Service,Mobile,Yes,ATM,Grocery,Yes,Yes,0.17,82.31,Morning,Friday,Yes,No,48,104.78,0,No,Yes,295,1.18,Windows,Debit,Basic,No,1.14,Business,Silver,0.52,0
21,CUST10020,30,72,Other,Divorced,Low,Professional,POS_Terminal,Yes,Online,Grocery,Yes,Yes,0.47,4.69,Morning,Friday,Yes,No,47,86.72,0,No,No,152,1.07,Android,Credit,Basic,No,1.05,Business,Bronze,0.41,0
22,CUST10021,122,68,Other,Divorced,Low,Professional,Desktop,Yes,ATM,Apparel,Yes,Yes,0.36,70.0,Afternoon,Saturday,No,No,53,72.75,1,No,No,128,0.96,Android,Credit,Gold,No,1.14,Retail,Gold,0.17,0
23,CUST10022,3,64,Other,Married,Medium,Retired,Mobile,Yes,Online,Gambling,Yes,Yes,0.42,133.71,Morning,Monday,Yes,No,51,41.82,0,No,No,14,1.34,Windows,Debit,Gold,No,1.14,Retail,Bronze,0.14,0
24,CUST10023,113,61,Female,Married,Low,Student,POS_Terminal,Yes,ATM,Pharmacy,Yes,Yes,0.58,16.59,Morning,Saturday,No,No,42,86.26,0,No,No,248,1.03,iOS,Debit,Gold,No,1.15,Retail,Bronze,0.54,0
25,CUST10024,26,68,Other,Divorced,Low,Retired,Desktop,Yes,In-Store,Apparel,Yes,No,0.11,122.84,Afternoon,Saturday,No,No,38,71.04,0,No,No,262,1.1,Linux,Credit,Basic,Yes,1.07,Retail,Gold,0.33,0
26,CUST10025,94,48,Female,Married,Low,Professional,Desktop,No,In-Store,Apparel,Yes,No,0.46,6.88,Afternoon,Saturday,No,No,51,76.79,0,No,No,287,0.91,Linux,Prepaid,Basic,No,1.12,Retail,Bronze,0.35,0
27,CUST10026,72,56,Other,Single,High,Professional,Desktop,Yes,In-Store,Gambling,Yes,Yes,0.01,49.67,Afternoon,Monday,No,No,36,29.22,0,No,No,16,1.29,Windows,Debit,Gold,No,1.19,Retail,Gold,0.19,0
28,CUST10027,66,27,Male,Divorced,Low,Retired,POS_Terminal,Yes,Wire,Pharmacy,Yes,Yes,0.47,69.77,Afternoon,Tuesday,Yes,No,50,31.07,1,No,No,283,0.85,Android,Credit,Basic,No,1.04,Retail,Gold,0.22,0
29,CUST10028,140,43,Female,Married,High,Service,Desktop,Yes,In-Store,Electronics,Yes,Yes,0.22,122.84,Night,Sunday,Yes,No,52,106.86,2,No,No,111,0.9,Linux,Debit,Basic,No,1.08,High Net Worth,Silver,0.35,0
30,CUST10029,202,69,Female,Single,Low,Professional,POS_Terminal,Yes,In-Store,Gambling,Yes,Yes,0.18,88.45,Evening,Wednesday,Yes,Yes,62,19.31,0,No,Yes,162,1.22,Windows,Credit,Platinum,No,1.01,Business,Silver,0.1,0
31,CUST10030,123,73,Other,Divorced,Medium,Professional,Mobile,No,ATM,Grocery,Yes,Yes,0.12,149.4,Evening,Monday,Yes,No,50,52.86,0,No,No,265,0.72,Linux,Credit,Platinum,No,1.06,High Net Worth,Silver,0.22,0
32,CUST10031,65,74,Other,Divorced,Low,Student,POS_Terminal,Yes,In-Store,Apparel,Yes,Yes,0.16,10.47,Morning,Saturday,No,No,58,53.38,0,No,Yes,264,1.12,iOS,Prepaid,Platinum,No,1.12,Business,Gold,0.37,0
33,CUST10032,195,40,Other,Divorced,High,Service,Desktop,Yes,Wire,Electronics,Yes,Yes,0.29,367.09,Evening,Friday,No,No,40,67.78,1,No,No,210,1.06,iOS,Prepaid,Gold,No,1.01,Business,Silver,0.2,0
34,CUST10033,109,51,Other,Married,Medium,Student,POS_Terminal,Yes,ATM,Pharmacy,Yes,Yes,0.4,105.39,Afternoon,Tuesday,No,No,43,80.12,0,No,No,174,1.2,Linux,Prepaid,Platinum,No,1.17,Retail,Gold,0.17,0
35,CUST10034,115,43,Other,Married,Medium,Professional,Desktop,Yes,ATM,Grocery,Yes,Yes,0.19,50.53,Night,Sunday,No,No,41,105.02,0,No,No,245,1.0,Linux,Credit,Gold,No,1.07,Business,Bronze,0.52,0
36,CUST10035,217,60,Other,Married,High,Service,POS_Terminal,Yes,Online,Apparel,Yes,Yes,0.28,156.07,Evening,Monday,Yes,No,50,100.69,1,No,No,269,1.14,Windows,Debit,Basic,No,1.14,Retail,Bronze,0.41,0
37,CUST10036,215,46,Male,Single,Medium,Professional,Desktop,Yes,Wire,Pharmacy,Yes,Yes,0.6,8.01,Afternoon,Saturday,No,No,47,85.02,0,No,No,211,0.47,Linux,Credit,Basic,No,1.14,Retail,Gold,0.03,1
38,CUST10037,46,69,Other,Single,Low,Student,Mobile,Yes,In-Store,Pharmacy,Yes,Yes,0.22,9.62,Night,Monday,Yes,No,50,86.36,0,No,No,147,0.61,iOS,Credit,Basic,No,1.04,High Net Worth,Gold,0.44,0
39,CUST10038,153,24,Other,Divorced,High,Retired,Desktop,No,Wire,Pharmacy,Yes,Yes,0.29,19.42,Night,Tuesday,No,No,43,65.08,4,No,No,63,0.97,Linux,Credit,Basic,No,1.1,Business,Silver,0.71,0
40,CUST10039,195,42,Other,Married,High,Service,Desktop,No,Wire,Electronics,Yes,Yes,0.21,0.51,Evening,Tuesday,No,No,34,94.5,1,No,No,115,0.3,Windows,Credit,Platinum,No,1.06,Retail,Bronze,0.13,0
41,CUST10040,6,41,Male,Single,Medium,Service,POS_Terminal,Yes,In-Store,Electronics,Yes,Yes,0.26,113.99,Night,Thursday,No,No,56,67.59,1,No,No,13,0.83,Linux,Credit,Basic,Yes,1.14,Retail,Silver,0.07,0
42,CUST10041,70,36,Female,Divorced,High,Professional,POS_Terminal,Yes,Wire,Gambling,Yes,No,0.63,276.83,Morning,Wednesday,No,No,37,67.74,0,No,No,211,1.03,Linux,Credit,Platinum,No,1.07,Business,Gold,0.33,0
43,CUST10042,26,51,Other,Divorced,Low,Student,Mobile,Yes,ATM,Gambling,No,Yes,0.03,24.94,Night,Monday,No,No,54,64.96,0,No,No,93,1.09,Windows,Prepaid,Platinum,No,1.11,High Net Worth,Gold,0.06,0
44,CUST10043,163,66,Male,Married,Low,Professional,Desktop,Yes,Online,Electronics,Yes,Yes,0.34,149.88,Night,Tuesday,No,No,58,56.11,0,No,No,47,1.06,Android,Debit,Gold,No,1.03,High Net Worth,Silver,0.42,0
45,CUST10044,130,41,Male,Married,Medium,Retired,Desktop,Yes,ATM,Gambling,No,Yes,0.28,127.97,Evening,Sunday,Yes,No,61,107.38,1,No,No,81,0.71,Linux,Debit,Platinum,No,1.1,Business,Bronze,0.36,0
46,CUST10045,154,39,Female,Single,High,Professional,POS_Terminal,Yes,Online,Electronics,No,Yes,0.35,302.72,Afternoon,Tuesday,Yes,No,61,104.52,0,No,No,85,1.3,Android,Debit,Basic,No,1.11,High Net Worth,Gold,0.23,0
47,CUST10046,203,35,Male,Divorced,Low,Student,POS_Terminal,Yes,ATM,Apparel,Yes,Yes,0.25,107.5,Afternoon,Friday,Yes,No,51,64.41,0,No,No,132,0.96,Android,Credit,Basic,No,1.06,Business,Bronze,0.11,0
48,CUST10047,186,41,Female,Divorced,High,Student,Desktop,Yes,In-Store,Electronics,Yes,Yes,0.21,66.68,Afternoon,Monday,No,No,61,88.05,1,No,No,226,0.68,iOS,Prepaid,Basic,No,1.12,High Net Worth,Gold,0.27,1
49,CUST10048,60,64,Female,Divorced,Medium,Professional,POS_Terminal,Yes,ATM,Electronics,Yes,Yes,0.36,195.18,Night,Sunday,No,Yes,52,96.46,0,No,No,11,0.58,iOS,Credit,Gold,No,1.11,Business,Silver,0.09,0
50,CUST10049,212,45,Other,Single,Medium,Service,POS_Terminal,Yes,ATM,Pharmacy,Yes,Yes,0.46,202.7,Night,Thursday,No,No,40,75.97,1,No,No,246,0.86,Windows,Credit,Basic,Yes,1.11,Retail,Silver,0.17,0
51,CUST10050,217,67,Female,Single,Medium,Student,Desktop,No,Online,Gambling,Yes,Yes,0.01,14.24,Evening,Tuesday,No,No,64,33.24,0,No,No,158,1.21,Android,Credit,Gold,No,1.09,High Net Worth,Silver,0.34,0
52,CUST10051,145,43,Other,Divorced,Medium,Professional,POS_Terminal,No,In-Store,Electronics,Yes,Yes,0.25,107.55,Afternoon,Saturday,No,No,53,95.1,1,No,No,103,0.95,Linux,Prepaid,Basic,No,1.15,Business,Silver,0.38,0
53,CUST10052,54,24,Other,Divorced,Medium,Student,Mobile,Yes,Online,Apparel,Yes,Yes,0.58,27.12,Afternoon,Thursday,Yes,No,44,106.05,0,No,No,266,1.2,Windows,Prepaid,Platinum,No,1.08,High Net Worth,Silver,0.2,0
54,CUST10053,37,32,Other,Divorced,Medium,Student,POS_Terminal,Yes,ATM,Apparel,Yes,Yes,0.27,21.79,Night,Wednesday,No,Yes,53,77.08,0,No,No,291,0.99,Windows,Debit,Basic,No,1.12,Business,Bronze,0.59,0
55,CUST10054,158,35,Female,Single,High,Service,Mobile,Yes,In-Store,Gambling,No,Yes,0.44,157.7,Evening,Saturday,No,No,62,85.27,0,No,No,174,1.09,iOS,Debit,Gold,No,1.11,Retail,Silver,0.27,0
56,CUST10055,122,74,Male,Married,Low,Service,Desktop,Yes,Online,Electronics,No,Yes,0.46,55.12,Evening,Saturday,Yes,No,39,119.45,0,No,No,120,0.75,Linux,Debit,Basic,No,1.07,Business,Silver,0.11,0
57,CUST10056,185,42,Female,Married,Medium,Retired,Mobile,No,Online,Apparel,Yes,Yes,0.06,473.94,Night,Monday,Yes,No,39,63.93,0,No,No,233,1.23,Linux,Credit,Basic,No,1.19,Business,Gold,0.14,0
58,CUST10057,188,22,Other,Single,Low,Service,POS_Terminal,Yes,ATM,Electronics,Yes,Yes,0.42,21.11,Afternoon,Monday,No,No,47,74.75,0,No,No,288,1.02,Android,Prepaid,Gold,No,1.08,High Net Worth,Silver,0.31,0
59,CUST10058,118,22,Female,Divorced,Medium,Retired,POS_Terminal,Yes,Online,Pharmacy,Yes,Yes,0.21,200.02,Morning,Sunday,Yes,No,50,67.07,0,No,No,238,0.86,Android,Credit,Platinum,No,1.09,Retail,Bronze,0.04,1
60,CUST10059,55,23,Male,Single,High,Professional,Mobile,No,Online,Gambling,Yes,No,0.17,170.07,Night,Saturday,No,No,57,64.86,0,No,No,207,0.95,Windows,Debit,Basic,No,1.15,High Net Worth,Gold,0.16,0
61,CUST10060,131,52,Female,Divorced,Medium,Professional,POS_Terminal,Yes,In-Store,Apparel,Yes,Yes,0.21,56.65,Afternoon,Thursday,Yes,No,50,85.59,0,No,No,255,0.67,Android,Prepaid,Basic,No,1.16,High Net Worth,Bronze,0.08,0
62,CUST10061,159,73,Male,Single,Low,Retired,POS_Terminal,Yes,ATM,Gambling,Yes,Yes,0.19,100.29,Morning,Thursday,No,No,44,84.81,2,No,No,8,0.79,Linux,Credit,Platinum,No,1.03,Business,Silver,0.27,0
63,CUST10062,215,73,Female,Single,High,Professional,Desktop,Yes,ATM,Pharmacy,Yes,Yes,0.12,79.4,Evening,Monday,Yes,No,58,86.59,0,No,No,253,1.22,Android,Prepaid,Platinum,No,1.13,Business,Bronze,0.15,0
64,CUST10063,120,26,Other,Married,High,Professional,Mobile,No,Wire,Pharmacy,Yes,Yes,0.33,174.37,Night,Wednesday,Yes,No,48,82.33,0,No,No,88,0.95,Linux,Prepaid,Gold,No,1.08,Retail,Silver,0.38,0
65,CUST10064,143,36,Female,Married,Medium,Retired,POS_Terminal,Yes,Online,Grocery,Yes,Yes,0.34,2.12,Evening,Thursday,No,No,71,89.38,1,No,No,50,0.83,Windows,Prepaid,Gold,Yes,1.06,Business,Bronze,0.21,0
66,CUST10065,91,57,Female,Single,Medium,Retired,Desktop,Yes,Online,Gambling,Yes,Yes,0.55,11.74,Morning,Saturday,No,No,39,31.69,0,No,No,173,1.19,Linux,Debit,Basic,No,1.12,Business,Silver,0.36,0
67,CUST10066,18,38,Other,Married,High,Student,Mobile,Yes,In-Store,Apparel,Yes,Yes,0.25,78.75,Afternoon,Wednesday,No,No,64,98.47,0,No,No,284,1.0,Linux,Debit,Basic,No,1.13,Business,Gold,0.28,0
68,CUST10067,118,36,Male,Divorced,Low,Retired,POS_Terminal,Yes,Online,Pharmacy,Yes,Yes,0.17,167.0,Night,Monday,Yes,No,60,79.9,1,No,No,220,0.96,iOS,Credit,Basic,No,1.16,Business,Bronze,0.31,0
69,CUST10068,56,36,Female,Divorced,Medium,Retired,Desktop,No,Wire,Gambling,Yes,Yes,0.11,53.21,Afternoon,Thursday,Yes,No,47,93.65,0,No,No,15,0.89,Linux,Debit,Platinum,No,1.12,Business,Gold,0.22,0
70,CUST10069,188,36,Male,Single,Medium,Student,Desktop,Yes,ATM,Electronics,Yes,Yes,0.51,72.83,Evening,Saturday,No,No,41,58.13,0,No,No,119,0.97,Linux,Debit,Gold,No,1.19,Business,Silver,0.13,0
71,CUST10070,137,43,Female,Married,High,Student,Desktop,Yes,ATM,Grocery,Yes,Yes,0.16,35.49,Afternoon,Friday,No,No,45,90.43,2,No,No,262,1.18,Android,Credit,Basic,Yes,1.17,High Net Worth,Gold,0.32,0
72,CUST10071,152,61,Female,Divorced,Medium,Student,POS_Terminal,Yes,In-Store,Gambling,Yes,Yes,0.48,56.02,Morning,Tuesday,No,No,45,96.06,0,No,No,71,1.41,iOS,Credit,Basic,No,1.1,Business,Silver,0.35,0
73,CUST10072,58,38,Male,Divorced,Low,Student,POS_Terminal,Yes,In-Store,Electronics,Yes,Yes,0.15,43.0,Night,Sunday,No,No,41,74.29,0,No,No,82,1.2,Windows,Prepaid,Platinum,No,0.99,High Net Worth,Gold,0.48,0
74,CUST10073,5,19,Male,Married,High,Student,Desktop,Yes,Wire,Pharmacy,Yes,Yes,0.17,154.63,Morning,Friday,Yes,No,57,91.85,0,No,No,144,0.93,Android,Prepaid,Platinum,No,1.08,High Net Worth,Bronze,0.26,0
75,CUST10074,6,56,Other,Single,Medium,Professional,POS_Terminal,Yes,Online,Gambling,Yes,Yes,0.48,86.18,Afternoon,Saturday,No,No,57,79.01,1,No,No,269,1.08,iOS,Debit,Gold,No,1.04,Retail,Silver,0.6,0
76,CUST10075,176,60,Female,Married,Medium,Service,Mobile,Yes,Wire,Pharmacy,Yes,No,0.09,13.06,Afternoon,Tuesday,Yes,No,41,64.96,0,No,No,266,1.11,iOS,Prepaid,Gold,No,1.19,Business,Gold,0.21,0
77,CUST10076,226,39,Male,Married,High,Service,Mobile,Yes,Wire,Apparel,Yes,Yes,0.3,59.85,Night,Wednesday,Yes,No,53,66.79,0,No,No,272,0.9,Linux,Credit,Platinum,No,1.11,Business,Bronze,0.46,0
78,CUST10077,67,21,Male,Married,Medium,Retired,POS_Terminal,No,Wire,Apparel,Yes,Yes,0.54,164.71,Night,Sunday,No,No,61,67.41,0,No,No,191,0.77,Android,Credit,Gold,No,1.07,Retail,Bronze,0.27,0
79,CUST10078,179,20,Female,Divorced,Medium,Retired,POS_Terminal,Yes,ATM,Electronics,Yes,Yes,0.44,33.06,Night,Wednesday,Yes,No,40,96.72,0,Yes,No,162,0.62,iOS,Prepaid,Platinum,No,1.09,High Net Worth,Silver,0.19,0
80,CUST10079,8,19,Male,Divorced,Medium,Service,POS_Terminal,Yes,In-Store,Pharmacy,Yes,Yes,0.45,538.99,Evening,Saturday,Yes,No,50,81.95,0,Yes,No,36,1.23,iOS,Prepaid,Platinum,No,1.11,Retail,Silver,0.66,0
81,CUST10080,105,36,Female,Single,High,Retired,POS_Terminal,No,In-Store,Electronics,Yes,Yes,0.09,71.82,Evening,Wednesday,No,No,48,89.84,2,No,No,88,1.18,Android,Debit,Basic,Yes,1.09,Business,Silver,0.33,0
82,CUST10081,185,46,Other,Divorced,Medium,Service,Desktop,Yes,Wire,Apparel,Yes,Yes,0.34,192.51,Evening,Sunday,Yes,Yes,45,45.99,0,Yes,No,38,0.94,Linux,Debit,Basic,No,1.11,Retail,Gold,0.52,0
83,CUST10082,139,30,Other,Divorced,Medium,Retired,Mobile,No,Wire,Electronics,Yes,Yes,0.24,112.27,Evening,Friday,Yes,No,58,90.38,1,No,No,83,1.04,Linux,Credit,Platinum,No,1.06,Business,Gold,0.17,0
84,CUST10083,29,58,Female,Divorced,Medium,Retired,Mobile,Yes,In-Store,Gambling,Yes,Yes,0.11,18.86,Morning,Friday,No,No,55,86.18,0,No,No,214,1.18,Android,Prepaid,Basic,No,1.09,Business,Silver,0.08,0
85,CUST10084,173,72,Other,Married,High,Student,Mobile,Yes,In-Store,Electronics,Yes,Yes,0.25,142.44,Morning,Wednesday,No,No,60,31.88,0,Yes,No,168,0.75,iOS,Debit,Basic,No,1.1,Business,Bronze,0.21,0
86,CUST10085,239,48,Female,Married,Medium,Student,POS_Terminal,Yes,In-Store,Gambling,Yes,Yes,0.19,82.03,Morning,Sunday,No,No,51,72.71,1,No,No,126,0.97,Linux,Credit,Basic,No,1.13,Business,Silver,0.23,0
87,CUST10086,201,66,Male,Married,Medium,Service,Desktop,Yes,Online,Apparel,Yes,Yes,0.3,18.43,Evening,Monday,No,No,58,82.94,1,No,No,22,1.01,Windows,Debit,Basic,No,1.12,High Net Worth,Bronze,0.11,0
88,CUST10087,179,34,Other,Single,High,Professional,Mobile,Yes,ATM,Grocery,Yes,Yes,0.14,191.43,Afternoon,Sunday,Yes,No,61,108.29,0,No,Yes,247,1.31,iOS,Prepaid,Basic,No,1.11,Business,Bronze,0.22,0
89,CUST10088,96,23,Male,Married,Low,Professional,Desktop,Yes,In-Store,Grocery,Yes,Yes,0.14,67.79,Evening,Sunday,Yes,No,48,102.49,1,No,No,117,0.8,iOS,Prepaid,Basic,No,1.06,Retail,Bronze,0.32,0
90,CUST10089,138,59,Female,Single,High,Retired,Mobile,Yes,In-Store,Apparel,Yes,Yes,0.55,466.13,Morning,Tuesday,No,No,47,78.61,1,No,No,261,1.03,iOS,Prepaid,Basic,No,1.09,High Net Worth,Silver,0.39,0
91,CUST10090,234,33,Female,Divorced,High,Professional,Desktop,Yes,In-Store,Pharmacy,Yes,Yes,0.26,34.6,Morning,Saturday,No,No,45,68.22,0,No,No,159,1.01,Linux,Prepaid,Basic,No,1.11,Retail,Silver,0.13,0
92,CUST10091,10,53,Female,Married,High,Professional,Desktop,Yes,Wire,Electronics,Yes,Yes,0.51,80.41,Morning,Wednesday,Yes,No,41,74.49,0,No,No,76,0.65,iOS,Debit,Gold,No,1.06,Business,Gold,0.18,0
93,CUST10092,88,67,Other,Divorced,High,Retired,Desktop,Yes,ATM,Gambling,Yes,Yes,0.39,84.82,Night,Monday,Yes,No,65,53.94,0,No,No,187,1.02,Android,Credit,Gold,No,1.07,Retail,Silver,0.25,0
94,CUST10093,101,50,Female,Married,Medium,Student,POS_Terminal,Yes,Online,Apparel,Yes,Yes,0.51,64.62,Night,Wednesday,No,No,53,74.4,0,No,No,230,1.07,Windows,Debit,Platinum,No,1.12,High Net Worth,Bronze,0.1,0
95,CUST10094,173,62,Male,Single,Low,Student,Mobile,Yes,ATM,Grocery,Yes,Yes,0.09,124.9,Morning,Friday,No,No,60,64.12,0,No,No,54,0.97,iOS,Credit,Gold,No,1.11,Business,Silver,0.22,0
96,CUST10095,102,34,Other,Single,Medium,Retired,Desktop,No,Online,Pharmacy,Yes,Yes,0.29,60.68,Afternoon,Tuesday,No,No,44,65.23,1,Yes,No,234,0.93,Android,Debit,Gold,Yes,1.07,Business,Silver,0.5,0
97,CUST10096,16,33,Male,Married,High,Service,Desktop,Yes,Online,Pharmacy,Yes,No,0.27,50.75,Evening,Monday,Yes,No,36,72.93,1,Yes,No,120,0.67,Windows,Prepaid,Gold,No,1.1,High Net Worth,Silver,0.32,0
98,CUST10097,106,74,Male,Single,Low,Student,Mobile,Yes,In-Store,Electronics,Yes,Yes,0.14,112.13,Morning,Saturday,Yes,No,47,97.8,0,No,No,175,0.78,Linux,Credit,Gold,No,1.09,High Net Worth,Bronze,0.06,0
99,CUST10098,38,39,Female,Married,High,Retired,POS_Terminal,Yes,Online,Electronics,Yes,Yes,0.77,227.96,Afternoon,Tuesday,Yes,No,50,59.77,1,No,No,140,1.06,iOS,Credit,Gold,No,1.06,Business,Silver,0.4,0
100,CUST10099,106,25,Female,Divorced,Medium,Student,Desktop,Yes,In-Store,Pharmacy,Yes,Yes,0.2,180.43,Morning,Wednesday,No,No,47,83.35,1,No,No,56,0.91,iOS,Credit,Platinum,No,1.11,Business,Gold,0.31,0
101,CUST10100,155,51,Female,Divorced,High,Retired,Mobile,No,In-Store,Gambling,Yes,Yes,0.19,301.45,Morning,Monday,Yes,No,47,83.13,0,No,No,59,0.68,Windows,Debit,Basic,No,1.12,High Net Worth,Silver,0.5,0
102,CUST10101,56,68,Female,Single,Low,Student,POS_Terminal,Yes,Wire,Grocery,Yes,Yes,0.29,51.24,Afternoon,Thursday,Yes,No,51,71.96,0,No,No,47,0.48,Windows,Debit,Gold,No,1.11,Business,Bronze,0.14,0
103,CUST10102,67,51,Female,Single,Medium,Professional,Desktop,No,Wire,Pharmacy,Yes,Yes,0.2,0.0,Night,Saturday,No,No,50,53.26,0,Yes,No,39,0.78,Windows,Debit,Gold,No,1.05,Retail,Silver,0.44,0
104,CUST10103,179,31,Male,Divorced,Medium,Retired,Mobile,Yes,Wire,Electronics,Yes,No,0.24,16.21,Afternoon,Thursday,No,No,48,59.98,0,No,No,140,0.94,iOS,Credit,Gold,No,1.22,Business,Silver,0.24,0
105,CUST10104,191,42,Male,Married,Low,Professional,POS_Terminal,Yes,Online,Pharmacy,No,Yes,0.24,13.01,Afternoon,Sunday,No,No,58,67.64,1,No,No,176,0.91,Windows,Prepaid,Platinum,No,1.01,Retail,Bronze,0.32,0
